name,count,type,mobilityRate,parMedian
Kern & North Orange County Community College Districts,8556.333333,1,0.027805742,63600
Los Angeles Community College District,8129.333333,1,0.040576592,41400
Los Rios Community College District,5873.333333,1,0.019838752,71900
Coast Community College District,5334.666667,1,0.033638272,72800
State Center Community College District,5160,1,0.023308825,47600
Contra Costa Community College District,4957.666667,1,0.017630978,85400
Ventura County Community College District,4747.333333,1,0.020021345,73700
"University Of California, Los Angeles",4734,1,0.055962522,105500
Mount San Antonio College,4660,1,0.029531231,62800
"University Of California, Berkeley",4624.333333,1,0.048850957,114700
San Diego Community College District,4152.666667,1,0.027009523,63200
Foothill-Deanza Community College District,4000.666667,1,0.0255091,80200
"University Of California, Davis",3996,1,0.044437986,109400
Riverside Community College District,3868.333333,1,0.017877668,70800
El Camino College,3618.333333,1,0.031190863,51600
Palomar College,3595.333333,1,0.020778358,73500
Grossmont-Cuyamaca Community College District,3461,1,0.01868738,77400
"University Of California, Santa Barbara",3450.333333,1,0.030754454,124000
Pasadena City College,3321.333333,1,0.048148058,44600
"University Of California, San Diego",3264.666667,1,0.048327465,111300
"University Of California, Irvine",3244.333333,1,0.067682147,92100
Cerritos Community College,3216,1,0.033037066,45500
San Diego State University,3196.333333,1,0.036618356,100500
Long Beach City College,3148.666667,1,0.033059396,49900
University Of Southern California,3052.666667,2,0.039329737,120100
California Polytechnic State University,2887.666667,1,0.022484858,124800
Santa Monica College,2886.666667,1,0.043851145,51300
Yosemite Community College District,2879,1,0.022407206,66400
"California State University, Long Beach",2863.666667,1,0.044307064,85800
Chaffey Community College,2802.666667,1,0.017686883,66300
Sierra College,2786.333333,1,0.012314454,85900
San Mateo County Community College District,2601.666667,1,0.025767351,77000
Southwestern Community College District,2576.5,1,0.023818141,54200
Santa Rosa Junior College,2559.333333,1,0.017464565,80900
Heald College,2428.333333,3,0.030289005,52400
Chabot-Las Positas Community College District,2381.666667,1,0.015573887,84000
"California State University, Fullerton",2374,1,0.047993153,83300
"University Of California, Riverside",2364.333333,1,0.060172301,75000
"California State University, Northridge",2348.666667,1,0.063248597,61100
"University Of California, Santa Cruz",2341.666667,1,0.027699087,115400
San Bernardino Community College District,2298.666667,1,0.02828251,55000
Rancho Santiago Community College District,2269.333333,1,0.02645644,63600
San Joaquin Delta College,2258.666667,1,0.022545097,66300
"California State Polytechnic University, Pomona",2195.333333,1,0.06833405,80200
San Jose State University,2182.333333,1,0.054279134,91700
Saddleback College,2124.666667,1,0.011584052,100600
"Universal Technical Institute of Rancho Cucamonga, CA",2105,3,0.032035813,62900
San Francisco Community College District,2076.333333,1,0.036124796,53400
California State University - Sacramento,2041.333333,1,0.033332288,88700
Citrus Community College,2030.666667,1,0.0204411,66500
Antelope Valley College,1904.666667,1,0.019280404,66600
"California State University, Chico",1895.333333,1,0.01958406,112200
Cuesta College,1881.333333,1,0.01772581,79900
College Of The Canyons,1868.666667,1,0.015793353,88200
San Francisco State University,1854.666667,1,0.034955118,87200
Santa Barbara City College,1827,1,0.017995782,86100
College Of The Sequoias,1764.666667,1,0.025295895,51500
Butte College,1751,1,0.019575922,64100
"California State University, Fresno",1656.333333,1,0.041856874,72400
Cabrillo College,1641,1,0.017490042,70200
West Valley-Mission Community College District,1567.333333,1,0.023581915,91600
Rio Hondo Community College,1545.333333,1,0.034616757,46500
San Jose-Evergreen Community College District,1523,1,0.02991337,67900
Solano Community College,1518.333333,1,0.010828887,84300
Stanford University,1516.333333,2,0.022457635,172600
Mt. San Jacinto College,1448,1,0.016137306,71000
Glendale Community College,1437,1,0.070821285,40100
Miracosta College,1413.333333,1,0.015323631,71200
Victor Valley Community College,1378.666667,1,0.021405781,62600
College Of The Desert,1342.666667,1,0.032123238,44900
Merced Community College,1336.333333,1,0.022773577,48400
Hartnell Community College,1280,1,0.02964537,51800
Yuba Community College District,1240.666667,1,0.023529511,48700
Allan Hancock College,1220,1,0.019464159,65700
"California State University, Los Angeles",1179.666667,1,0.09918455,36600
United Education Institute,1165,3,0.02239546,29600
"California State University, San Bernardino",1151.666667,1,0.043982204,69800
College Of The Redwoods,1064.666667,1,0.014106999,59900
Ohlone College,1059.333333,1,0.02065892,91100
Loyola Marymount University,1016,2,0.024588708,131800
Santa Clara University,989.6666667,2,0.022468021,149900
Las Positas College,988.5,1,0.0080153681,109500
Fashion Institute Of Design & Merchandising,932.5,3,0.0252064,76300
Sonoma State University,907.6666667,1,0.017271277,113700
University Of San Diego,894,2,0.023036603,139300
Imperial Valley College,885.6666667,1,0.048198018,34300
Napa Valley College,837,1,0.0163964,75000
West Hills Community College District,808,1,0.026258452,46100
Humboldt State University,736.6666667,1,0.016260199,96000
Monterey Peninsula College,722.3333333,1,0.018193007,66100
Irvine Valley College,708.3333333,1,0.0234816,81200
"California State University, East Bay",696.6666667,1,0.043488853,86000
Azusa Pacific University,647,2,0.015201175,103700
University Of The Pacific,617.6666667,2,0.04254083,96500
