type,pre_col,par_mean,k_mean,par_median,k_median,state,mr_kq5_pq1,mr_ktop1_pq1
3,166594.9696,166594.9696,39988.01721,92300,27400,CA,0.01635739,0.0013608988
1,76983.84115,76983.84115,33651.39258,65700,30800,CA,0.019464159,0.000057610676
3,55879.31641,55879.31641,27716.02799,30400,25700,CA,0.019744419,0.000052231022
1,71043.66439,71043.66439,32210.8752,66600,25700,CA,0.019280404,0.000042189855
3,101653.7677,101653.7677,31006.41846,84000,29700,CA,0.00085495313,0.000015065516
2,140836.1458,140836.1458,53629.40625,84800,42800,CA,0.04573692,0.0030611865
2,172835.4881,172835.4881,47276.7129,103700,42100,CA,0.015201175,0.000047374007
1,62711.74123,62711.74123,34251.57475,58000,28700,CA,0.034888964,0
2,159678.221,159678.221,44505.20001,95300,35700,CA,0.017981296,0.0000058477603
3,161301.604,161301.604,35938.51075,95300,30500,CA,0.010514108,0
1,81294.32462,81294.32462,34286.59561,64100,27300,CA,0.019575922,0.00039115598
1,103351.7815,103351.7815,33680.19711,70200,26500,CA,0.017490042,0.00026631006
2,94525.19923,94525.19923,40537.43385,82600,36200,CA,0.023633266,0
2,160342.7458,160342.7458,37838.00831,90100,29700,CA,0.0085592549,0.000088134249
3,110464.0925,110464.0925,34039.54725,66000,27900,CA,0.016258487,0
2,185591.1348,185591.1348,119502.5455,124500,83000,CA,0.031777687,0.0072321603
2,205473.4941,205473.4941,46508.11575,108700,25300,CA,0.009437901,0.0025206055
2,169644.5575,169644.5575,57255.63568,110600,50900,CA,0.012286789,0.000061987346
1,132454.2234,132454.2234,89270.23137,113100,85800,CA,0.050363775,0.0035986267
1,169835.7176,169835.7176,76443.30962,124800,65500,CA,0.022484858,0.0015971198
1,98379.03405,98379.03405,58449.62114,80200,55100,CA,0.06833405,0.00030474114
1,107518.9904,107518.9904,51314.20331,88700,47900,CA,0.033332288,0.00000037925255
1,141960.9635,141960.9635,45810.76172,96300,47300,CA,0.015977334,0.000053560143
1,84211.55416,84211.55416,47321.12536,67700,46100,CA,0.04607648,0.00060421904
1,150534.7388,150534.7388,56332.84072,112200,48700,CA,0.01958406,0.00053662201
1,57771.22737,57771.22737,42627.00179,45600,40300,CA,0.056009766,0.00072849588
1,104528.7794,104528.7794,55258.10369,86000,51300,CA,0.043488853,0.00092883303
1,93996.48605,93996.48605,50156.2507,72400,44400,CA,0.041856874,0.000594443
1,103739.6362,103739.6362,52188.20571,83300,47800,CA,0.047993153,0.00084324076
1,116773.1328,116773.1328,53931.90846,85800,48800,CA,0.044307064,0.00034968724
1,52114.62349,52114.62349,44225.55413,36600,43000,CA,0.09918455,0.00027692367
1,123045.047,123045.047,44659.59198,93200,41100,CA,0.033873096,0.0010347271
1,84829.51677,84829.51677,49244.33341,61100,44100,CA,0.063248597,0.0014253665
1,82251.9873,82251.9873,45793.71725,69800,43500,CA,0.043982204,0.0011442828
1,128226.3448,128226.3448,50603.34853,93600,44400,CA,0.020967012,0
1,83972.02921,83972.02921,44836.2289,72300,44800,CA,0.038550034,0.000045360248
3,59022.17318,59022.17318,26076.92122,47900,25000,CA,0.0170296,0.000038423186
2,39084.00911,39084.00911,21629.48828,29300,16300,CA,0.01181031,0.000089654903
1,56123.49818,56123.49818,32951.94418,45500,30200,CA,0.033037066,0.00036082449
1,101121.464,101121.464,40258.29424,84000,35200,CA,0.015573887,0.000035123412
