name,par_median,k_median,state,mr_kq5_pq1,mr_ktop1_pq1
Academy Of Art University,92300,27400,CA,0.01635739,0.0013608988
Allan Hancock College,65700,30800,CA,0.019464159,0.000057610676
"American Career College of Los Angeles, CA",30400,25700,CA,0.019744419,0.000052231022
Antelope Valley College,66600,25700,CA,0.019280404,0.000042189855
Argosy University,84000,29700,CA,0.00085495313,0.000015065516
Art Center College Of Design,84800,42800,CA,0.04573692,0.0030611865
Azusa Pacific University,103700,42100,CA,0.015201175,0.000047374007
Barstow Community College,58000,28700,CA,0.034888964,0
Biola University,95300,35700,CA,0.017981296,0.0000058477603
Brooks Institute,95300,30500,CA,0.010514108,0
Butte College,64100,27300,CA,0.019575922,0.00039115598
Cabrillo College,70200,26500,CA,0.017490042,0.00026631006
California Baptist University,82600,36200,CA,0.023633266,0
California College Of The Arts,90100,29700,CA,0.0085592549,0.000088134249
California Culinary Academy,66000,27900,CA,0.016258487,0
California Institute Of Technology,124500,83000,CA,0.031777687,0.0072321603
California Institute Of The Arts,108700,25300,CA,0.009437901,0.0025206055
California Lutheran University,110600,50900,CA,0.012286789,0.000061987346
California Maritime Academy,113100,85800,CA,0.050363775,0.0035986267
California Polytechnic State University,124800,65500,CA,0.022484858,0.0015971198
"California State Polytechnic University, Pomona",80200,55100,CA,0.06833405,0.00030474114
California State University - Sacramento,88700,47900,CA,0.033332288,0.00000037925255
California State University Channel Islands,96300,47300,CA,0.015977334,0.000053560143
"California State University, Bakersfield",67700,46100,CA,0.04607648,0.00060421904
"California State University, Chico",112200,48700,CA,0.01958406,0.00053662201
"California State University, Dominguez Hills",45600,40300,CA,0.056009766,0.00072849588
"California State University, East Bay",86000,51300,CA,0.043488853,0.00092883303
"California State University, Fresno",72400,44400,CA,0.041856874,0.000594443
"California State University, Fullerton",83300,47800,CA,0.047993153,0.00084324076
"California State University, Long Beach",85800,48800,CA,0.044307064,0.00034968724
"California State University, Los Angeles",36600,43000,CA,0.09918455,0.00027692367
"California State University, Monterey Bay",93200,41100,CA,0.033873096,0.0010347271
"California State University, Northridge",61100,44100,CA,0.063248597,0.0014253665
"California State University, San Bernardino",69800,43500,CA,0.043982204,0.0011442828
